Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Bodegas Príncipe de Viana,2019,4611595,Colección Monovarietales Tempranillo Roble 2019,3.5,29,4.75,España,Navarra
Busca Raons,2020,6834921,Tinto 2020,3.6,49,4.75,España,Costers del Segre
Arnegui,2018,1710204,Tempranillo Rioja 2018,3.6,212,4.75,España,Rioja
Bodegas Piqueras,2020,6230146,El Picoteo Tinto 2020,3.5,219,4.76,España,Almansa
Bodegas Cosme Palacio,2016,1135925,Milflores Rioja Tinto 2016,3.1,938,4.78,España,Rioja
Volver,2020,4486087,Madame Bobalu Bobal 2020,3.7,32,4.79,España,Valencia
Enate,2019,1158423,Tapas Tempranillo 2019,3.5,97,4.8,España,Somontano
Marqués de la Concordia,2018,1150826,Rioja Tempranillo 2018,3.7,684,4.8,España,Rioja
Enate,2018,1158423,Tapas Tempranillo 2018,3.3,201,4.8,España,Somontano
Bodegas Príncipe de Viana,2016,1561396,Crianza 2016,3.4,28,4.83,España,Navarra
Bodegas Aragonesas,2018,1825919,Coto De Hayas Crianza 2018,3.8,75,4.85,España,Campo de Borja
Bodegas Aragonesas,2017,1825919,Coto De Hayas Crianza 2017,3.7,146,4.85,España,Campo de Borja
Dominio de Eguren,2016,9399,Códice 2016,3.2,259,4.85,España,Castilla y León
Borsao Bodegas,2019,1657138,Joven (Selección) 2019,3.2,89,4.85,España,Campo de Borja
Arnegui,2020,1710204,Tempranillo Rioja 2020,3.4,58,4.85,España,Rioja
Bodegas Olarra,2020,1554308,Reciente Tempranillo Rioja 2020,3.5,50,4.9,España,Rioja
Bodegas Piqueras,2018,1184425,Valcanto Syrah 2018,3.7,114,4.9,España,Almansa
Hacienda Zorita Natural Reserve,2018,1590758,Crianza 2018,3.3,80,4.9,España,Castilla y León
Bodegas Piqueras,2016,1190247,Valcanto  Monastrell 2016,3.8,92,4.9,España,Almansa
Bienbebido,2012,1959008,Come Jamon y Bebe Vino 2012,2.8,59,4.9,España,Rioja
Sonsierra,2018,2650090,Selección Tempranillo 2018,3.2,112,4.9,España,Rioja Alta
Freixenet,2018,1252649,Mia Tinto 2018,3.4,691,4.9,España,Castilla y León
La Purisima,2018,4313884,Old Hands Roble 2018,3.5,26,4.9,España,Yecla
El Miracle,2019,1420439,El Miracle By Mariscal Old Vine Garnacha Tintorera 2019,3.6,33,4.9,España,Valencia
Bodegas Care,2021,3934584,Nouveau 2021,3.9,41,4.9,España,Cariñena
Campos de Luz,2018,5370753,Garnacha 2018,3.0,112,4.9,España,Cariñena
Calabuig,2020,3957265,Tinto 2020,3.5,36,4.9,España,Valencia
Hoya de Cadenas,2017,76606,Reserva Privada 2017,3.8,26,4.9,España,Utiel-Requena
Bodegas Príncipe de Viana,2017,1561396,Crianza 2017,3.4,34,4.9,España,Navarra
Solaguen,2015,736244,Crianza 2015,3.6,195,4.925,España,Rioja
Murviedro,2018,7090350,Galeam Monastrell 2018,3.7,141,4.94,España,Alicante
Bienbebido,2011,1870840,Come Pollo y Bebe Vino 2011,2.8,83,4.94,España,Rioja
Sierra Salinas,2018,9245045,El Caire Monastrell 2018,4.0,79,4.94,España,Vino de España
Carlos Serres,2018,2264260,Eneldo Crianza 2018,3.8,59,4.95,España,Rioja
La Cova Dels Vins,2020,1230850,Deler Tinto 2020,3.4,43,4.95,España,Montsant
Bodegas Lagunilla,2018,1129460,Crianza 2018,3.5,329,4.95,España,Rioja
Castillo Perelada,2020,2352415,Empordà Jardins Negre 2020,3.4,38,4.95,España,Empordà
Celler Cooperatiu d'Espolla,2019,1189721,Vinya Orlina Tinto 2019,3.1,27,4.95,España,Empordà
Bodega Pirineos,2017,73344,Montesierra Crianza 2017,3.6,49,4.95,España,Somontano
Bodegas Care,2020,7472718,Tinto Sobre Lías Garnacha - Syrah 2020,3.7,137,4.95,España,Cariñena
Baltasar Gracián,2019,4175593,El Politico Garnacha 2019,3.8,146,4.95,España,Calatayud
Campo Viejo,2017,76784,Crianza 2017,3.5,1345,4.95,España,Rioja
El Circo,2016,4296175,Director Special Selection Garnacha 2016,3.8,28,4.95,España,Cariñena
El Gordo,2019,3981796,Garnacha 2019,3.6,31,4.95,España,Cariñena
Hacienda López de Haro,2019,1921901,Tempranillo 2019,3.6,64,4.95,España,Rioja
Segura Viudas,2019,4300311,Garnatxa 2019,3.2,64,4.95,España,Cataluña
Bodega Rochal,2019,4190807,Calixto Rufete 2019,3.2,25,4.98,España,Sierra de Salamanca
Félix Solís,N.V.,6266660,Mucho Más Tinto N.V.,4.2,29389,4.99,España,Vino de España
Finca Manzanos,2019,4188323,Garnacha 2019,3.6,43,4.99,España,Rioja
Cooperatiu Gandesa,2018,2637876,Gandesola Red 2018,3.3,34,4.99,España,Terra Alta
Los Hermanos Manzanos,2018,2216555,Crianza 2018,3.8,56,4.99,España,Rioja
Marqués de Griñon,2018,1245440,Crianza (Colección Privada) 2018,3.2,62,5.0,España,Rioja
Laus,2018,5288724,Tinto Barrica 2018,3.5,49,5.0,España,Somontano
Viña Pomal,2009,1126218,Centenario Crianza 2009,3.6,176,5.01,España,Rioja
De Muller,2018,1403986,Solimar Tinto 2018,3.6,48,5.1,España,Tarragona
Honoro Vera,2020,1196853,Garnacha 2020,3.7,221,5.1,España,Calatayud
Guelbenzu,2017,1901038,Vierlas 2017,3.3,66,5.1,España,Ribera del Queiles
Familia Torres,2019,1152206,Coronas Crianza 2019,3.4,41,5.13,España,Cataluña
Bodegas Lagunilla,2016,1129460,Crianza 2016,3.3,422,5.14,España,Rioja
Bodegas Aragonesas,2016,1825919,Coto De Hayas Crianza 2016,3.6,206,5.14,España,Campo de Borja
Murviedro,2020,6525780,Audentia Petit Verdot 2020,3.6,44,5.15,España,Valencia
Garriguella,2020,1878834,Puntils Rouge 2020,3.5,25,5.17,España,Empordà
Bodegas Valdemar,2020,15481,Conde de Valdemar Tempranillo 2020,3.4,46,5.18,España,Rioja
Emendis,2020,3585530,Cabró! Negre Selecció 2020,3.2,68,5.19,España,Panadés
Atalaya,2020,1193347,Laya 2020,3.7,1024,5.19,España,Almansa
Gran Feudo,2015,12305,Crianza 2015,3.4,159,5.2,España,Navarra
Gran Feudo,2017,12305,Crianza 2017,3.7,192,5.2,España,Navarra
Gran Feudo,2016,12305,Crianza 2016,3.6,147,5.2,España,Navarra
Hacienda López de Haro,2018,1921901,Tempranillo 2018,3.5,134,5.2,España,Rioja
Honoro Vera,2018,2200226,Monastrell 2018,3.8,362,5.2,España,Jumilla
Reforjat,2019,8719996,Garnatxa Negra 2019,3.4,44,5.2,España,Terra Alta
Campo Viejo,2018,76784,Crianza 2018,3.7,873,5.2,España,Rioja
Honoro Vera,2019,2200226,Monastrell 2019,3.9,244,5.2,España,Jumilla
Oriol Rossell,2019,2292261,Xino-Xano Tinto 2019,3.4,185,5.22,España,Panadés
Señorío de Sarria,2017,1125826,Crianza 2017,3.5,78,5.24,España,Navarra
Bodegas del Muni,2018,1556204,Corpus del Muni Roble 2018,3.5,39,5.25,España,Castilla
Valderiz,2020,1155142,Valdehermoso Joven 2020,3.2,34,5.25,España,Ribera del Duero
Honoro Vera,2019,5722731,Rioja 2019,3.7,222,5.25,España,Rioja
Zuazo Gaston,2018,1211162,Vendimia Seleccionada 2018,3.7,52,5.25,España,Rioja
Arnegui,2019,1710204,Tempranillo Rioja 2019,3.4,217,5.25,España,Rioja
Volver,2020,84148,Wrongo Dongo Monastrell 2020,3.6,27,5.25,España,Jumilla
Honoro Vera,2020,2200226,Monastrell 2020,3.7,29,5.25,España,Jumilla
Honoro Vera,2020,2141257,Organic Monastrell 2020,3.7,158,5.25,España,Jumilla
Celler de Sanui,2019,8594071,El Petit de Sanui Negre 2019,3.3,62,5.3,España,Costers del Segre
Ederra,2018,1653817,Rioja Crianza 2018,3.6,181,5.3,España,Rioja
Viña Ijalba,2019,1829828,Tempranillo 2019,3.5,29,5.3,España,Rioja
Pinord,2018,13071,Clos de Torribas Crianza Tempranillo 2018,3.4,34,5.3,España,Panadés
Baltasar Gracián,2020,4175593,El Politico Garnacha 2020,3.5,26,5.3,España,Calatayud
El Casetero,2018,5564763,Garnacha 2018,3.7,565,5.3,España,Campo de Borja
Campo Viejo,2018,6023690,Ecológico 2018,3.6,101,5.31,España,Rioja
Celler Masroig,2019,98958,Solà Fred 2019,3.6,434,5.31,España,Montsant
El Escocés Volante,2018,1744295,La Multa Old Vine Garnacha 2018,3.5,55,5.31,España,Calatayud
Viña Paceta,2017,1633874,Crianza 2017,3.2,48,5.35,España,Rioja
Bodegas Faustino,2018,1129392,VII Tempranillo 2018,3.7,7332,5.35,España,Rioja
Barahonda,2019,1172227,Carro 2019,3.7,275,5.35,España,Yecla
Campos de Dulcinea,2019,5453192,Selección de Familia 2019,3.3,35,5.375,España,La Mancha
Honoro Vera,2018,2141257,Organic Monastrell 2018,3.7,942,5.4,España,Jumilla
Finca La Estacada,2018,3123972,Hello World Petit Verdot 2018,3.4,108,5.4,España,Castilla
Juan Gil,2020,6312410,Etiqueta Amarilla 2020,3.9,335,5.4,España,Jumilla
El Miracle,2019,76607,120 Anniversary Tinto 2019,3.3,46,5.4,España,Valencia
El Coto,2017,8619,Crianza 2017,3.7,4273,5.42,España,Rioja Alavesa
Castillo de Monjardin,2018,1902249,Clásico Tempranillo 2018,2.8,195,5.43,España,Navarra
Viña Paceta,2016,1633874,Crianza 2016,3.3,306,5.43,España,Rioja
Tridente,2018,6399011,Gota de Arena 2018,3.7,727,5.45,España,Castilla y León
Félix Solís,N.V.,5445838,The Guv’nor N.V.,4.0,12965,5.45,España,Valdepeñas
Familia Torres,2018,1385210,Sangre de Toro 2018,3.3,853,5.45,España,Cataluña
Ederra,2016,1653817,Rioja Crianza 2016,3.5,839,5.48,España,Rioja
Viña Paceta,2018,1633874,Crianza 2018,3.6,66,5.49,España,Rioja
Laudum,2017,7317279,XII Plus Monastrell 2017,3.6,26,5.49,España,Valencia
Campo Viejo,2019,6023690,Ecológico 2019,3.4,48,5.5,España,Rioja
Bodegas Fontana,2019,5961872,Dominio de Fontana Garnacha - Syrah 2019,3.5,27,5.5,España,Uclés
Bodegas Aragonesas,2019,1239615,Solo Syrah Tirio 2019,3.6,236,5.5,España,Campo de Borja
Bodega Picos,2018,1879392,Loteta 2018,3.4,75,5.5,España,Campo de Borja
Sant Pere Moixent,2019,6594913,Tinto 2019,3.4,50,5.5,España,Valencia
Eguía,2018,1640526,Crianza Rioja 2018,3.5,97,5.5,España,Rioja
Aldeya,2019,1286987,Garnacha 2019,3.5,103,5.5,España,Cariñena
Finca de la Rica,2016,1948407,El Guía Tinto 2016,3.2,71,5.5,España,Rioja
Pago Aylés,2017,5793376,Immortalis Monastrell Old Vines 2017,3.6,61,5.5,España,Aragón
Borsao Bodegas,2017,1401444,Bole 2017,3.8,241,5.5,España,Campo de Borja
Cercavins,2019,1631420,Lo Virol Tinto 2019,2.8,25,5.51,España,Costers del Segre
Tridente,2019,6399011,Gota de Arena 2019,3.6,32,5.51,España,Castilla y León
Canopy,2019,6783470,Ganadero 2019,3.7,145,5.51,España,Méntrida
Honoro Vera,2018,5722731,Rioja 2018,3.5,739,5.52,España,Rioja
Marqués de Altillo,2015,22815,Crianza 2015,3.4,71,5.54,España,Rioja
Marqués de Altillo,2016,22815,Crianza 2016,3.4,95,5.55,España,Rioja
Viore,2018,4170932,5 Meses en Barrica  Tinto 2018,3.4,82,5.55,España,Toro
Honoro Vera,2019,1196853,Garnacha 2019,3.8,2071,5.55,España,Calatayud
Rioja Vega,2018,1190404,Semi Crianza 2018,3.4,383,5.6,España,Rioja
Orowines,2018,2034003,Comoloco Monastrell 2018,3.6,507,5.6,España,Jumilla
Adernats,2020,9543097,Parabòlic 2020,3.2,55,5.6,España,Cataluña
Orowines,2019,2034003,Comoloco Monastrell 2019,3.6,229,5.6,España,Jumilla
Oliver Conti,2020,6623844,Indispensable Negre 2020,3.5,109,5.6,España,Empordà
Finca Antigua,2016,1513516,Garnacha 2016,3.6,70,5.6,España,La Mancha
Bodega Pirineos,2017,2291254,Señorío de Lazán Crianza 2017,3.9,246,5.6,España,Somontano
Gran Feudo,2017,5608644,626 Barricas Edición Limitada Crianza 2017,3.1,36,5.6,España,Navarra
Bodega Iniesta,2019,2500972,Corazón Loco Tinto 2019,3.4,143,5.6,España,Manchuela
Bodega Iniesta,2020,2500972,Corazón Loco Tinto 2020,3.6,107,5.6,España,Manchuela
Bodegas Javier San Pedro Ortega,2020,3973869,Cueva de Lobos Joven 2020,3.7,46,5.65,España,Rioja
Familia Torres,2019,1385210,Sangre de Toro 2019,3.1,371,5.69,España,Cataluña
R. Raventós,2020,5795233,L'Ànec Mut Negre 2020,3.7,84,5.69,España,Panadés
Solar Viejo,2018,2338896,Tempranillo Rioja 2018,3.3,458,5.7,España,Rioja
Bodegas Piqueras,2018,5328798,Old Vines Garnacha 2018,3.7,233,5.75,España,Almansa
Pagos del Rey,2018,5050415,Sentero Roble Tinta de Toro 2018,3.8,84,5.75,España,Toro
Particular,2017,2538450,Cariñena 2017,3.6,73,5.75,España,Cariñena
Particular,2018,2335907,Garnacha Old Vine 2018,3.8,100,5.75,España,Cariñena
Monólogo,2017,1302028,Crianza 2017,3.4,742,5.75,España,Rioja
Honoro Vera,2019,2141257,Organic Monastrell 2019,3.8,831,5.75,España,Jumilla
Celler Masroig,2020,98958,Solà Fred 2020,3.7,72,5.75,España,Montsant
Luna Beberide,2020,1169128,M Mencía Bierzo LB 2020,3.5,25,5.75,España,Bierzo
Sierra Salinas,2018,79954,MO Monastrell 2018,3.5,419,5.75,España,Alicante
Bodegas Mano a Mano,2017,1192990,Mano a Mano 2017,3.4,174,5.77,España,Castilla
Bodegas Vallobera,2019,7390364,Malarina 2019,3.8,57,5.8,España,Rioja
Sant Josep,2018,6137925,Plana d’En Fonoll Syrah 2018,3.5,45,5.8,España,Terra Alta
Sierra Salinas,2017,79954,MO Monastrell 2017,3.8,71,5.8,España,Alicante
Celler de Capçanes,2020,1177475,Mas Donis Negre 2020,3.4,89,5.8,España,Montsant
Tarón,2016,1233061,Crianza 2016,3.7,568,5.8,España,Rioja Alta
Aroa,2014,1567694,Jauna Crianza 2014,3.8,498,5.82,España,Navarra
Castillo de Monjardin,2017,1392332,Old Vines (La Cantera) Garnacha 2017,3.5,79,5.83,España,Navarra
Volver,2017,1170617,Paso a Paso Tempranillo 2017,3.6,707,5.84,España,Castilla
Enate,2017,1158423,Tapas Tempranillo 2017,3.4,236,5.85,España,Somontano
Bodegas Faustino,2018,1142455,Crianza 2018,3.5,464,5.85,España,Rioja
Monólogo,2016,8327168,Crianza Vendimia Seleccionada 2016,3.3,82,5.85,España,Rioja
Telmo Rodriguez,2018,2568897,Al-Muvedre Tinto Monastrell 2018,3.6,549,5.85,España,Alicante
Familia Torres,2017,3385833,Mas Rabell 2017,3.7,1175,5.85,España,Cataluña
Marqués de Tosos,2014,1139332,Reserva 2014,3.5,32,5.85,España,Cariñena
Campillo,2020,1910299,El Niño de Campillo Rioja 2020,3.6,52,5.85,España,Rioja
Celler Batea,2018,1311196,Primicia Criança 2018,3.6,90,5.87,España,Terra Alta
Campillo,2019,1910299,El Niño de Campillo Rioja 2019,3.6,122,5.9,España,Rioja
Bienbebido,2012,1870832,Come Cerdo y Bebe Vino 2012,3.4,30,5.9,España,Rioja
Tercia de Ulea,2017,5805304,Travesura Shiraz 2017,3.1,51,5.9,España,Bullas
Barahonda,2020,5461188,Organic Monastrell - Merlot 2020,4.0,30,5.9,España,Yecla
Azabache,2018,2841429,Crianza Vendimia Seleccionada 2018,3.6,207,5.9,España,Rioja
Arnegui,2016,1131347,Crianza Rioja 2016,3.6,599,5.9,España,Rioja
Bienbebido,2014,1870840,Come Pollo y Bebe Vino 2014,2.8,82,5.9,España,Rioja
Bodegas Fontana,2019,1181172,Dominio de Fontana Roble Tempranillo - Syrah 2019,3.7,75,5.9,España,Castilla
Raúl Pérez,2020,1151531,Castro Ventosa El Castro de Valtuille Mencía Joven 2020,3.7,111,5.9,España,Bierzo
Barahonda,2019,5461188,Organic Monastrell - Merlot 2019,3.8,301,5.9,España,Yecla
Puerta Vieja,2018,10331,Crianza 2018,3.4,234,5.9,España,Rioja
Aldonia,2019,1620419,Vendimia 2019,3.6,34,5.9,España,Rioja
Oliver Conti,2018,6623844,Indispensable Negre 2018,3.4,260,5.9,España,Empordà
Ramón Roqueta,2019,1667265,Garnacha 2019,3.5,89,5.9,España,Cataluña
Bodegas Faustino,2020,1178638,Tinto 2020,3.4,46,5.9,España,Rioja
Alcorta,2019,6447370,Roble 2019,3.5,39,5.9,España,Ribera del Duero
Laus,2017,1130857,Crianza 2017,3.3,70,5.9,España,Somontano
Bodegas Valdelana,2020,9172118,Familia Valdelana Cosecha 2020,3.4,80,5.9,España,Rioja
Bodegas Antonio Candela,2019,7957865,Parcelica Chica Monastrell - Syrah 2019,3.8,72,5.9,España,Yecla
Monasterio de Las Vinas,2016,7957055,Reserva Grandes Vinos L'Héritage Cariñena 2016,3.8,175,5.9,España,Cariñena
Finca La Solana,2020,4381882,Organic Verdecillo 2020,3.6,74,5.9,España,Murcia
